Tee,1,2,3,4,5,6,7,8,9,Out,10,11,12,13,14,15,16,17,18,In,Tot
yds,486,392,286,166,548,324,167,376,327,3072,385,359,462,447,353,106,519,118,364,3113,6185
Par,5,4,4,3,5,4,3,4,4,36,4,4,5,4,4,3,5,3,4,36,72
Hcp,14,2,16,12,8,18,4,6,10,,7,9,13,1,3,17,11,15,5,,
